mesaid,linetime,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,dayofweek,daybymidnight,daybynoon,stage,gt
4277,1900-01-01 18:00:00,0,0.0,0.0,686.29,6.7,29.9,377.0,0.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:00:30,0,0.0,0.0,96.3,12.3,7.63,2.13,0.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:01:00,0,8.0,0.0,92.93,12.0,7.31,2.17,0.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:01:30,0,30.0,0.0,89.3,11.0,7.15,2.13,1.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:02:00,0,0.0,0.0,83.15,10.1,6.7,1.95,0.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:02:30,0,2.0,0.0,80.14,9.89,6.42,1.91,0.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:03:00,0,0.0,0.0,78.72,9.27,6.42,1.87,0.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:03:30,0,36.0,0.0,82.2,9.68,6.7,1.95,1.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:04:00,0,0.0,0.0,73.92,9.27,5.88,1.75,0.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:04:30,0,1.0,0.0,67.34,7.8,5.51,1.67,0.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:05:00,0,38.0,0.0,51.95,4.44,4.64,1.41,1.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:05:30,0,1.0,0.0,46.65,3.98,4.16,1.29,1.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:06:00,0,153.0,0.0,40.51,2.64,3.81,1.16,1.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:06:30,0,0.0,0.0,37.23,2.76,3.42,1.06,1.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:07:00,0,27.0,0.0,31.46,2.13,2.94,0.913,1.0,ACTIVE,5,1,1,,0
4277,1900-01-01 18:07:30,0,28.0,0.0,24.67,1.18,2.42,0.785,1.0,ACTIVE,5,1,1,,0
